Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Burundi,BDI,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,22.50855064,23.86092965909091,25.213308678181814,26.56568769727273,27.91806671636364,29.270445735454548,30.62282475454545,31.97520377363637,33.32758279272728,34.67996181181819,36.03234083090909,37.38471985,38.90675486143669,40.490756114303935,42.13924642512579,43.85485132124219,45.64030322244938,47.49844579288661,49.43223847009992,51.44476117849676,53.53921923469832,55.71894845260218,57.98742045628623,60.34824820921555,62.80519176855847,65.36216427377684,68.02323817902811,70.79265173930594,73.67481576064921,76.67432062517089,79.79594360209504,83.04465645644629,86.42563336751022,89.94425916967577,93.60613792878547,97.41710186765214,101.38322065495825,105.51081107233188,109.80644707499596,114.27697026201439,118.92950077281063,123.77144862731365,128.8105255277925,134.05475714117608
Cabo Verde,CPV,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.79685974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,KHM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,CMR,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,41.21620941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,CAF,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,18.23616982,19.419881385384617,20.603592950769237,21.78730451615385,22.971016081538465,24.15472764692308,25.33843921230769,26.522150777692307,27.705862343076923,28.88957390846154,30.073285473846155,31.256997039230768,32.44070860461538,33.62442017,34.952030227808756,36.332058987759694,37.76657612409046,39.257733029037695,40.80776603935031,42.41899979019682,44.09385070149665,45.83483060190409,47.64455049587984,49.52572447949971,51.48117381087324,53.51383114127669,55.626744913346,57.8230839329259,60.106142121431525,62.479343455850106,64.94624710379112,67.51055276128628,70.1761062013447,72.94690504158415,75.82710473958916,78.82102482498631,81.9331553775842,85.16816376129275,88.53090162392145,92.02641217335423,95.6599377410131,99.43692764395387,103.36304635738519,107.44418200986706,111.68645521392969,116.09622824535622,120.6801145848956,125.44498883671592
Chad,TCD,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,CHI,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,91.12840271,91.444676209,91.760949708,92.077223207,92.393496706,92.709770205,93.026043704,93.342317203,93.658590702,93.974864201,94.2911377,94.61063344121966,94.93121176062374,95.25287632641613,95.57563081923006,95.89947893217024,96.22442437085502,96.55047085345889,96.87762211075496,97.20588188615774,97.53525393576585,97.86574202840507,98.19734994567148,98.53008148197469,98.86394044458127,99.19893065365835,99.53505594231727,99.87232015665744,100.21072715581043,100.55028081198407,100.89098501050675,101.23284364987188,101.57586064178258,101.92003991119627,102.26538539636972,102.61190104890414,102.95959083379024,103.30845872945372,103.6585087278008,104.0097448342638,104.36217106784704
China,CHN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,65.50508881,67.04008484250001,68.575080875,70.1100769075,71.64507294,73.1800689725,74.715065005,76.25006103749999,77.78505707,79.41808337253003,81.08539357231754,82.78770742850502,84.52575981092143,86.30030101731731,88.11209709725993,89.96193018282825,91.85059882625063,93.77891834463087,95.74772117191146,97.75785721822604,99.81019423679601,101.90561819852995,104.04503367448729,106.22936422637154,108.45955280522152,110.73656215847276,113.06137524556482,115.43499566227379,117.85844807395348,120.33277865787186,122.85905555483409,125.43836933028702,128.07183344510398,130.7605847362535,133.5057839075589,136.3086160307614,139.17029105710205,142.0920443396443,145.07513716656203,148.12085730562353,151.2305195601065
Colombia,COL,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comoros,COM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,47.91923141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",COD,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",COG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,59.61912155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,CRI,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,92.62904358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,CIV,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.13927841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,HRV,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.70155334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,97.84664917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.36247253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czechia,CZE,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,DJI,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,DOM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,73.06456757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
