Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
IDA only,IDX,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,0.759036141,,0.317299651,0.438208591,0.242798314,0.308321739,0.33349157,0.316086196,0.514619344,0.480301981,0.413108768,0.173846477,0.321091486,0.132664328,0.151616628,0.208445892,0.077732365,0.282603639,0.205119928,0.270857848,0.329580922,0.413469346,0.768330299,1.038385256,0.800977919,0.727777602,0.909015233,1.306601094,1.324027394,1.374310689,1.340567252,1.523934395,1.496897959,1.799845957,2.033511547,1.806978425,2.128591666,2.681358329,2.967544815,2.303079404,2.774392527,3.77915068,4.244611995,3.981242314,3.161090303,3.39161967,2.91697129,2.822634496,2.669005252,2.550681251,2.173930997,2.705287757,2.492054347
IDA total,IDA,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,1.152677161,1.078632537,0.975838933,1.088281387,0.617037848,0.686445788,0.542291495,0.574625995,0.517021123,0.568611923,0.06934729,0.356718653,0.372028478,0.386696512,0.254242964,0.527911775,0.193521779,0.535574255,0.420076975,0.952942314,0.48725625,0.57249682,0.870900703,1.2162418,1.094989418,0.743337757,0.778044405,0.914534081,0.884685326,1.303270328,1.161599736,1.234857216,1.509816289,1.624624618,1.672827708,2.010235327,2.2895638,2.737429572,2.827625241,2.338874475,2.340070744,2.84936632,2.727637099,2.596994683,2.178185196,2.326214359,2.069238786,2.261174944,1.943619892,1.776196227,1.518188566,1.982516259,1.684720379
Late-demographic dividend,LTE,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,0.409572221,0.517123396,0.617511101,0.720222964,0.650052604,0.658897634,0.672742009,0.701202976,0.71814309,,0.83181949,0.873925231,1.147626525,1.385216648,2.075108908,2.418780754,2.233521072,2.692643483,3.282133246,3.798182638,4.322557941,4.239309454,3.501982164,3.809152453,3.546315821,3.435200656,4.589911788,4.569335284,5.216804523,4.262420954,3.853071904,4.256645094,4.024023605,3.815530681,3.507433002,3.434340045,3.827063258,2.847463198,2.206149381,2.309961447,1.897193014,1.851111854,2.504909782,1.64233537
Latin America & Caribbean,LCN,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,1.174073691,1.320350631,0.300462685,0.688709354,0.472101242,0.921981009,0.098498831,0.443318832,0.673926539,0.83204466,0.926757472,1.043862427,0.919021522,0.778690626,0.533980004,0.912849027,0.977958024,0.854554956,1.074267976,0.86195325,0.755274852,1.105417182,1.136214461,0.898427134,1.653807261,1.649425744,2.271663073,3.016653232,3.229381743,4.487792577,3.586825587,3.34053434,2.70859408,2.316383001,3.03136633,2.837208636,3.211256843,4.122875245,3.781103237,2.726090549,3.685489831,4.059787701,3.918527578,3.846531728,3.806217448,5.08358012,3.507797016,3.042205481,3.310757192,3.074687662,2.503115366,3.348250619,4.35419062
Latin America & Caribbean (excluding high income),LAC,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,1.396365952,1.367596956,0.719238243,0.914069256,0.837720026,0.755994418,0.66766895,0.485499228,0.64848999,0.828533206,0.924063284,1.060322242,0.841223976,0.883922591,0.597001639,1.082301527,1.119590602,0.902781039,1.160053142,0.744329141,0.674430152,0.919053297,1.095487403,0.835659053,1.527204794,1.542103323,2.062337603,2.63260966,2.989034299,4.258738885,3.453213984,3.267191203,2.718322666,2.104858849,2.868017888,2.656560073,2.281903581,3.187556561,3.098191174,2.133859448,3.266778802,3.242341809,3.229229727,3.256394887,2.890142566,3.188052534,3.385691387,3.017401178,3.305186252,2.889140899,2.284306799,2.629284371,3.587043331
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,1.080886766,1.267010535,0.210398064,0.609141343,0.382099896,0.914437331,0.08744526,0.427926833,0.674537779,0.82373372,0.923903886,1.0346538,0.915944156,0.781335549,0.531486375,0.924917094,0.988726765,0.859363995,1.070725961,0.863470103,0.748079396,1.094930323,1.143227164,0.900855927,1.662306161,1.646714613,2.270584008,3.011069301,3.232783483,4.482305754,3.599056908,3.364439939,2.691156329,2.305788494,3.033621716,2.826612861,2.424726374,3.390319519,3.328502211,2.229501957,3.269404963,3.525135204,3.563876223,3.282877801,3.067741154,3.466502027,3.449512364,2.997658235,3.308755097,3.055619484,2.352068285,2.834082149,3.916667075
Least developed countries: UN classification,LDC,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,0.300137271,0.346753794,0.210996461,0.099958088,0.399167261,0.387163514,0.562285293,0.47160958,0.41250349,0.181687563,0.415108531,0.185811973,0.188547052,0.473918134,0.192740573,0.31323009,0.221010219,0.381242538,0.092792006,0.739334619,0.924580163,1.184351883,0.642681535,0.912312479,1.022816575,1.508824256,1.888435309,2.774869115,1.803095014,2.983634335,2.62733393,3.660417822,3.13035173,1.68825122,2.232881565,2.565957727,3.109465768,2.533184981,2.60501675,2.949637623,3.53594309,2.756824756,2.989665715,4.042739033,2.607200507,1.88196405,1.679968603,1.772856119,1.956442798,2.083450519,1.488778051
Low & middle income,LMY,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,0.825625385,0.810009383,0.587663125,0.799589137,0.771465372,0.767082696,0.488460686,0.406919372,0.526709679,0.382871076,0.35752651,0.496480142,0.413511522,0.434898436,0.396472174,0.513973881,0.474794685,0.486180184,0.672837197,0.717505605,0.632807625,0.932711869,1.099447014,1.421435134,1.796605966,1.785564257,2.014001733,2.449998372,2.483644,2.835676382,2.358374615,2.602221618,2.406419747,2.260979655,2.534544388,2.962825352,3.260116545,3.68262923,3.546282721,2.524924532,3.034176523,3.006936581,2.626041392,2.730747087,2.279070437,2.28073471,2.053644657,1.847468072,1.933312072,1.764070521,1.734618948,2.114015139,1.413968386
Low income,LIC,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,0.306074765,,0.131027216,0.265882586,0.076991395,0.40261613,0.285921262,0.236957633,0.670246128,0.404724559,0.280283456,0.126987739,0.195276642,0.057266649,0.055985369,0.193122127,-0.085303802,0.15179715,0.038892477,0.112203257,0.034021974,0.292495766,0.774090954,0.932734137,0.492574167,0.199382708,0.356677895,0.575525261,0.802577691,0.894552207,1.030989882,1.595798272,1.667684004,2.128030409,2.083202095,1.316710485,1.936119536,2.174808103,2.342444415,2.031833948,2.588765109,4.213038848,5.576680659,4.788348122,3.372310604,3.362097293,3.053263573,2.737738363,3.196081677,3.410494286,3.023349884,3.984254421,3.045180846
Lower middle income,LMC,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,0.537314275,0.457011635,0.470628599,0.717606696,0.542309144,0.514980888,0.302149559,0.421387903,0.522585385,0.501583285,0.229735924,0.383015268,0.241570435,0.246504571,0.2318639,0.36592028,0.263506624,0.344106338,0.438623254,0.6234115,0.326373896,0.575166692,0.609155669,0.934296633,1.100885582,0.946899501,0.98081903,1.301164927,1.267233831,1.380563463,1.299135096,1.550417792,1.715411446,1.600432775,1.46151187,2.075477442,2.763614502,2.861162507,3.305856035,2.646056436,1.944144883,1.961963263,1.744803109,1.668827549,1.791904817,2.144468334,1.938642876,1.883912581,1.804802911,1.781369695,1.823515774,1.595140442,1.4332837
Middle East & North Africa,MEA,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,0.454967431,0.083531206,0.347125241,0.063828444,-1.93053632,1.393119754,0.014866465,0.608596758,0.744603496,0.10778076,-0.397186629,1.483617325,2.269495024,1.100253971,1.155882673,0.33318923,0.417304959,-0.049787447,0.328599491,0.23732306,0.371213667,0.510125055,0.748249548,0.830854278,0.844100518,0.275750718,0.641842923,1.211087891,1.30697161,0.811676756,1.16082481,1.033403987,0.955740756,1.748076091,2.406960242,4.451517694,5.669629356,5.564836296,4.019055478,3.279021465,2.923892276,1.869402365,1.757979923,1.505022838,1.042547684,1.26452562,1.532438842,1.616041663,1.725286423,1.759224916,2.045311649,2.175529286,1.967826765
