Year,State Code,STATE,Districts,PRIMARY SECTOR,SECONDARY SECTOR,TERTIARY SECTOR,TOTAL CURRENT PRICES,PER CAPITA CURRENT PRICES
2007,9,PUNJAB,SANGRUR,36353,16365,25777,78495,50
2008,9,PUNJAB,SANGRUR,41428,17813,30128,89368,56
2009,9,PUNJAB,SANGRUR,35566,20369,35619,91553,57
2010,9,PUNJAB,SANGRUR,39109,22793,43240,105141,64
2011,9,PUNJAB,SANGRUR,42456,27002,50894,120351,73
2012,9,PUNJAB,SANGRUR,45690,29345,59786,134822,81
2013,9,PUNJAB,SANGRUR,47808,30219,68803,146830,87
2007,9,PUNJAB,PATIALA,26264,41253,52522,120039,68
2008,9,PUNJAB,PATIALA,30047,45947,62634,138629,77
2009,9,PUNJAB,PATIALA,43334,53771,66498,163603,90
2010,9,PUNJAB,PATIALA,50014,61380,78872,190266,102
2011,9,PUNJAB,PATIALA,53809,57491,92862,204161,108
2012,9,PUNJAB,PATIALA,57448,63858,105746,227052,118
2013,9,PUNJAB,PATIALA,59688,66155,121726,247569,126
2007,4,HARYANA,HISSAR,31472,40217,50964,122653,74
2008,4,HARYANA,HISSAR,38822,46727,62618,148167,88
2009,4,HARYANA,HISSAR,40318,58872,80229,179420,106
2010,4,HARYANA,HISSAR,38241,65870,96648,200759,117
2011,4,HARYANA,HISSAR,45232,72008,115643,232883,134
2012,4,HARYANA,HISSAR,49416,80815,136698,266929,151
2013,4,HARYANA,HISSAR,57609,87061,162161,306830,171
2007,4,HARYANA,GURGAON,10124,63943,69404,143471,133
2008,4,HARYANA,GURGAON,12108,76176,88789,177074,153
2009,4,HARYANA,GURGAON,15684,99226,114602,229512,183
2010,4,HARYANA,GURGAON,17463,114668,142057,274188,200
2011,4,HARYANA,GURGAON,19858,135146,184275,339279,224
2012,4,HARYANA,GURGAON,21021,158479,232173,411672,244
2013,4,HARYANA,GURGAON,23663,178459,283022,485143,255
2007,4,HARYANA,JIND,23975,11209,28888,64071,50
2008,4,HARYANA,JIND,28673,13625,34572,76869,60
2009,4,HARYANA,JIND,28997,15749,43593,88338,68
2010,4,HARYANA,JIND,29372,17761,51893,99027,75
2011,4,HARYANA,JIND,33879,19745,60509,114133,86
2012,4,HARYANA,JIND,36005,22913,70816,129734,96
2013,4,HARYANA,JIND,40908,25539,79515,145962,107
2007,4,HARYANA,MAHENDRAGARH / NARNAUL,11591,5122,23098,39812,45
2008,4,HARYANA,MAHENDRAGARH / NARNAUL,13906,6151,27382,47439,53
2009,4,HARYANA,MAHENDRAGARH / NARNAUL,11680,7492,34430,53602,60
2010,4,HARYANA,MAHENDRAGARH / NARNAUL,13326,8284,40790,62400,69
2011,4,HARYANA,MAHENDRAGARH / NARNAUL,15447,8947,47388,71782,78
2012,4,HARYANA,MAHENDRAGARH / NARNAUL,16592,10414,55123,82129,88
2013,4,HARYANA,MAHENDRAGARH / NARNAUL,18998,11703,61840,92541,98
2007,4,HARYANA,AMBALA,12402,20910,40584,73896,69
2008,4,HARYANA,AMBALA,14649,23981,48352,86982,80
2009,4,HARYANA,AMBALA,14925,29724,61241,105890,96
2010,4,HARYANA,AMBALA,19556,32109,70402,122067,110
2011,4,HARYANA,AMBALA,22079,35025,80967,138072,122
2012,4,HARYANA,AMBALA,22947,39273,93205,155426,136
2013,4,HARYANA,AMBALA,25515,42539,103665,171719,148
2007,4,HARYANA,KARNAL,25503,34532,43438,103473,74
2008,4,HARYANA,KARNAL,31619,40130,52460,124209,87
2009,4,HARYANA,KARNAL,42697,50149,66756,159602,110
2010,4,HARYANA,KARNAL,51164,56128,78942,186234,126
2011,4,HARYANA,KARNAL,59406,64527,93295,217227,144
2012,4,HARYANA,KARNAL,63110,72517,108814,244440,160
2013,4,HARYANA,KARNAL,71983,77861,122464,272308,175
2007,4,HARYANA,ROHTAK,11114,16256,31441,58811,58
2008,4,HARYANA,ROHTAK,13199,18970,37308,69477,68
2009,4,HARYANA,ROHTAK,13767,23476,46445,83687,81
2010,4,HARYANA,ROHTAK,15422,26144,54345,95911,92
2011,4,HARYANA,ROHTAK,17611,27949,63347,108906,103
2012,4,HARYANA,ROHTAK,18701,31736,73339,123776,115
2013,4,HARYANA,ROHTAK,21113,34513,85055,140682,129
2007,12,UTTAR PRADESH,SAHARANPUR,33927,25102,38529,97558,30
2008,12,UTTAR PRADESH,SAHARANPUR,51577,26307,43476,121360,37
2009,12,UTTAR PRADESH,SAHARANPUR,55315,32025,51195,138536,41
2010,12,UTTAR PRADESH,SAHARANPUR,61206,34511,57699,153416,45
2011,12,UTTAR PRADESH,SAHARANPUR,78915,41115,62823,182853,53
2012,12,UTTAR PRADESH,SAHARANPUR,98031,43227,68996,210254,60
2013,12,UTTAR PRADESH,SAHARANPUR,123025,44667,77686,245379,68
2007,12,UTTAR PRADESH,MUZAFFARNAGAR,31073,36573,45692,113339,29
2008,12,UTTAR PRADESH,MUZAFFARNAGAR,40808,38374,53558,132740,34
2009,12,UTTAR PRADESH,MUZAFFARNAGAR,46249,46494,64410,157153,39
2010,12,UTTAR PRADESH,MUZAFFARNAGAR,55164,52171,77573,184908,45
2011,12,UTTAR PRADESH,MUZAFFARNAGAR,64438,59441,88068,211947,51
2012,12,UTTAR PRADESH,MUZAFFARNAGAR,72378,62721,101170,236268,56
2013,12,UTTAR PRADESH,MUZAFFARNAGAR,81917,65934,117364,265215,62
2007,12,UTTAR PRADESH,MEERUT,33371,42038,53142,128551,39
2008,12,UTTAR PRADESH,MEERUT,51945,44912,59685,156542,47
2009,12,UTTAR PRADESH,MEERUT,77562,52423,70452,200438,60
2010,12,UTTAR PRADESH,MEERUT,88273,58828,75830,222932,66
2011,12,UTTAR PRADESH,MEERUT,113855,62388,81333,257576,75
2012,12,UTTAR PRADESH,MEERUT,141235,66750,90727,298712,86
2013,12,UTTAR PRADESH,MEERUT,175941,70571,103477,349989,99
2007,12,UTTAR PRADESH,BULAND SHAHAR,27181,15256,41543,83979,26
2008,12,UTTAR PRADESH,BULAND SHAHAR,22889,16031,48418,87338,26
2009,12,UTTAR PRADESH,BULAND SHAHAR,27621,18247,58089,103957,31
2010,12,UTTAR PRADESH,BULAND SHAHAR,29536,19903,68258,117697,34
2011,12,UTTAR PRADESH,BULAND SHAHAR,34158,21652,76145,131956,38
2012,12,UTTAR PRADESH,BULAND SHAHAR,38037,22731,84925,145692,41
2013,12,UTTAR PRADESH,BULAND SHAHAR,43013,23847,96151,163012,45
2007,12,UTTAR PRADESH,ALIGARH,22390,19634,34937,76961,23
2008,12,UTTAR PRADESH,ALIGARH,30227,20533,40219,90978,26
2009,12,UTTAR PRADESH,ALIGARH,34925,23370,47786,106081,30
2010,12,UTTAR PRADESH,ALIGARH,41183,26345,55450,122978,34
2011,12,UTTAR PRADESH,ALIGARH,49615,28060,61790,139464,38
2012,12,UTTAR PRADESH,ALIGARH,57532,29926,70727,158184,42
2013,12,UTTAR PRADESH,ALIGARH,67388,31977,82371,181737,47
2007,12,UTTAR PRADESH,MATHURA,21289,16117,31670,69075,29
2008,12,UTTAR PRADESH,MATHURA,27449,17490,36385,81324,34
2009,12,UTTAR PRADESH,MATHURA,33631,19972,42509,96111,39
2010,12,UTTAR PRADESH,MATHURA,40542,22733,48656,111931,45
2011,12,UTTAR PRADESH,MATHURA,49610,25526,53296,128432,50
2012,12,UTTAR PRADESH,MATHURA,58154,27338,60406,145898,56
2013,12,UTTAR PRADESH,MATHURA,68910,29350,69399,167659,63
2007,12,UTTAR PRADESH,AGRA,30706,39502,58686,128893,32
2008,12,UTTAR PRADESH,AGRA,46663,41943,67386,155992,37
2009,12,UTTAR PRADESH,AGRA,52317,48899,81464,182680,43
2010,12,UTTAR PRADESH,AGRA,60904,54930,90668,206502,48
2011,12,UTTAR PRADESH,AGRA,79481,60462,100319,240262,54
2012,12,UTTAR PRADESH,AGRA,99908,64368,113299,277575,62
2013,12,UTTAR PRADESH,AGRA,126659,69088,130752,326499,71
2007,12,UTTAR PRADESH,MAINPURI,10778,4388,10767,25932,15
2008,12,UTTAR PRADESH,MAINPURI,14579,4884,12183,31646,18
2009,12,UTTAR PRADESH,MAINPURI,16395,5637,14456,36488,20
2010,12,UTTAR PRADESH,MAINPURI,20536,6493,16428,43458,24
2011,12,UTTAR PRADESH,MAINPURI,24205,7132,17928,49265,26
2012,12,UTTAR PRADESH,MAINPURI,27477,7806,19879,55162,29
2013,12,UTTAR PRADESH,MAINPURI,31701,8515,22500,62716,33
2007,12,UTTAR PRADESH,ETAH,10761,4602,10576,25939,15
2008,12,UTTAR PRADESH,ETAH,13720,4949,12406,31074,18
2009,12,UTTAR PRADESH,ETAH,14771,5801,15018,35590,21
2010,12,UTTAR PRADESH,ETAH,9326,6394,17522,33243,19
2011,12,UTTAR PRADESH,ETAH,10837,6342,19724,36902,21
2012,12,UTTAR PRADESH,ETAH,12042,6896,22891,41829,23
2013,12,UTTAR PRADESH,ETAH,13821,7440,26749,48010,26
2007,12,UTTAR PRADESH,BAREILLY,28025,23197,38911,90133,22
2008,12,UTTAR PRADESH,BAREILLY,24714,24109,44393,93216,22
2009,12,UTTAR PRADESH,BAREILLY,29059,28610,51842,109510,26
2010,12,UTTAR PRADESH,BAREILLY,32630,32145,58120,122895,28
2011,12,UTTAR PRADESH,BAREILLY,39716,34492,63326,137534,31
2012,12,UTTAR PRADESH,BAREILLY,46321,37204,71389,154914,34
2013,12,UTTAR PRADESH,BAREILLY,54941,39460,81685,176085,38
2007,12,UTTAR PRADESH,BUDAUN,25095,7233,19135,51463,15
2008,12,UTTAR PRADESH,BUDAUN,33706,8042,21997,63745,18
2009,12,UTTAR PRADESH,BUDAUN,48268,9232,25405,82904,23
2010,12,UTTAR PRADESH,BUDAUN,57960,10206,30032,98198,27
2011,12,UTTAR PRADESH,BUDAUN,70813,10182,33369,114363,31
2012,12,UTTAR PRADESH,BUDAUN,83152,10683,37447,131282,35
2013,12,UTTAR PRADESH,BUDAUN,98442,11426,42974,152842,40
2007,12,UTTAR PRADESH,MORADABAD,34485,34369,40121,108975,25
2008,12,UTTAR PRADESH,MORADABAD,47910,35910,45860,129680,29
2009,12,UTTAR PRADESH,MORADABAD,49103,41482,52757,143342,31
2010,12,UTTAR PRADESH,MORADABAD,65282,47567,62333,175182,38
2011,12,UTTAR PRADESH,MORADABAD,82632,50737,70023,203392,43
2012,12,UTTAR PRADESH,MORADABAD,100468,54232,80456,235156,48
2013,12,UTTAR PRADESH,MORADABAD,123307,57841,92959,274107,55
2007,12,UTTAR PRADESH,SHAHJAHANPUR,21475,11605,19745,52825,19
2008,12,UTTAR PRADESH,SHAHJAHANPUR,29278,12286,22535,64099,22
2009,12,UTTAR PRADESH,SHAHJAHANPUR,34760,14179,27032,75971,26
2010,12,UTTAR PRADESH,SHAHJAHANPUR,44263,16361,30498,91122,31
2011,12,UTTAR PRADESH,SHAHJAHANPUR,52179,18578,33274,104031,35
2012,12,UTTAR PRADESH,SHAHJAHANPUR,59075,18449,37314,114838,38
2013,12,UTTAR PRADESH,SHAHJAHANPUR,67609,21177,42634,131420,42
2007,12,UTTAR PRADESH,PILIBHIT,15041,7333,14873,37247,20
2008,12,UTTAR PRADESH,PILIBHIT,19780,8004,17225,45010,24
2009,12,UTTAR PRADESH,PILIBHIT,22167,9242,21094,52502,27
2010,12,UTTAR PRADESH,PILIBHIT,26902,10360,25154,62415,31
2011,12,UTTAR PRADESH,PILIBHIT,30757,11214,28279,70251,35
2012,12,UTTAR PRADESH,PILIBHIT,33778,11410,32270,77458,37
2013,12,UTTAR PRADESH,PILIBHIT,37999,12218,37535,87752,41
2007,12,UTTAR PRADESH,RAMPUR,11054,8611,17161,36826,17
2008,12,UTTAR PRADESH,RAMPUR,13756,9074,19670,42500,19
2009,12,UTTAR PRADESH,RAMPUR,14243,10585,23697,48525,22
2010,12,UTTAR PRADESH,RAMPUR,15818,12103,27699,55621,24
2011,12,UTTAR PRADESH,RAMPUR,17821,12892,30929,61642,26
2012,12,UTTAR PRADESH,RAMPUR,19185,14063,35578,68825,29
2013,12,UTTAR PRADESH,RAMPUR,21316,14971,41864,78150,32
2007,12,UTTAR PRADESH,BIJNOR,25081,30315,37890,93286,27
2008,12,UTTAR PRADESH,BIJNOR,31939,31125,43112,106176,30
2009,12,UTTAR PRADESH,BIJNOR,35873,36643,50564,123080,35
2010,12,UTTAR PRADESH,BIJNOR,47379,40934,59987,148299,41
2011,12,UTTAR PRADESH,BIJNOR,54736,42157,66407,163300,44
2012,12,UTTAR PRADESH,BIJNOR,60219,44429,75344,179992,48
2013,12,UTTAR PRADESH,BIJNOR,67694,47012,88467,203173,53
2007,12,UTTAR PRADESH,FARRUKHABAD,12219,5213,12685,30117,17
2008,12,UTTAR PRADESH,FARRUKHABAD,17122,5680,14472,37274,21
2009,12,UTTAR PRADESH,FARRUKHABAD,21883,6574,17337,45793,25
2010,12,UTTAR PRADESH,FARRUKHABAD,18093,7368,19695,45155,24
2011,12,UTTAR PRADESH,FARRUKHABAD,21539,7970,21453,50962,27
2012,12,UTTAR PRADESH,FARRUKHABAD,24685,8417,24049,57149,30
2013,12,UTTAR PRADESH,FARRUKHABAD,28704,9043,27433,65179,33
2007,12,UTTAR PRADESH,ETAWAH,9731,5524,11844,27100,18
2008,12,UTTAR PRADESH,ETAWAH,12664,6089,13646,32399,22
2009,12,UTTAR PRADESH,ETAWAH,15016,7020,16641,38677,25
2010,12,UTTAR PRADESH,ETAWAH,20750,7988,18921,47658,31
2011,12,UTTAR PRADESH,ETAWAH,24357,8581,20779,53716,34
2012,12,UTTAR PRADESH,ETAWAH,27536,9340,23434,60310,37
2013,12,UTTAR PRADESH,ETAWAH,31678,10132,26873,68684,42
2007,12,UTTAR PRADESH,FATEHPUR,13099,8875,14777,36751,15
2008,12,UTTAR PRADESH,FATEHPUR,15726,9575,17294,42595,17
2009,12,UTTAR PRADESH,FATEHPUR,16536,11090,21191,48818,19
2010,12,UTTAR PRADESH,FATEHPUR,15692,12723,25318,53732,21
2011,12,UTTAR PRADESH,FATEHPUR,17527,14399,28554,60480,23
2012,12,UTTAR PRADESH,FATEHPUR,18869,15457,33007,67333,25
2013,12,UTTAR PRADESH,FATEHPUR,21085,16784,38527,76396,28
2007,12,UTTAR PRADESH,ALLAHABAD,25568,31095,78370,135033,24
2008,12,UTTAR PRADESH,ALLAHABAD,34552,33497,91706,159755,28
2009,12,UTTAR PRADESH,ALLAHABAD,46151,38769,109255,194176,34
2010,12,UTTAR PRADESH,ALLAHABAD,42060,43854,123387,209301,36
2011,12,UTTAR PRADESH,ALLAHABAD,53408,46988,135033,235429,40
2012,12,UTTAR PRADESH,ALLAHABAD,64967,50425,154125,269517,44
2013,12,UTTAR PRADESH,ALLAHABAD,80161,54920,178590,313670,51
2007,12,UTTAR PRADESH,JHANSI,10827,11610,30878,53315,28
2008,12,UTTAR PRADESH,JHANSI,14546,12787,36930,64263,33
2009,12,UTTAR PRADESH,JHANSI,18562,14564,45470,78596,40
2010,12,UTTAR PRADESH,JHANSI,23291,16180,51302,90773,46
2011,12,UTTAR PRADESH,JHANSI,27745,18171,56766,102681,51
2012,12,UTTAR PRADESH,JHANSI,31571,19550,66522,117644,58
2013,12,UTTAR PRADESH,JHANSI,36487,21126,78753,136365,66
2007,12,UTTAR PRADESH,JALAUN,9369,5358,13438,28165,18
2008,12,UTTAR PRADESH,JALAUN,11689,5845,15521,33055,20
2009,12,UTTAR PRADESH,JALAUN,12956,6705,18522,38183,23
2010,12,UTTAR PRADESH,JALAUN,13159,7577,21794,42530,26
2011,12,UTTAR PRADESH,JALAUN,14879,7661,24023,46563,28
2012,12,UTTAR PRADESH,JALAUN,16185,8431,27733,52349,31
2013,12,UTTAR PRADESH,JALAUN,17947,8878,32556,59381,34
2007,12,UTTAR PRADESH,HAMIRPUR,6555,4191,7915,18661,17
2008,12,UTTAR PRADESH,HAMIRPUR,7708,4684,9071,21464,20
2009,12,UTTAR PRADESH,HAMIRPUR,8459,5557,11033,25050,23
2010,12,UTTAR PRADESH,HAMIRPUR,8915,5902,12947,27763,25
2011,12,UTTAR PRADESH,HAMIRPUR,9877,5875,14238,29990,27
2012,12,UTTAR PRADESH,HAMIRPUR,10464,6180,16247,32890,30
2013,12,UTTAR PRADESH,HAMIRPUR,11440,6877,18907,37224,33
2007,12,UTTAR PRADESH,BANDA,8277,5519,11234,25030,15
2008,12,UTTAR PRADESH,BANDA,9526,6306,12822,28654,17
2009,12,UTTAR PRADESH,BANDA,9406,7475,15638,32519,19
2010,12,UTTAR PRADESH,BANDA,10814,7521,18326,36661,21
2011,12,UTTAR PRADESH,BANDA,11889,7948,19929,39766,22
2012,12,UTTAR PRADESH,BANDA,12452,8128,22866,43446,24
2013,12,UTTAR PRADESH,BANDA,13698,9320,26334,49352,27
2007,12,UTTAR PRADESH,VARANASI,9612,29617,64899,104128,30
2008,12,UTTAR PRADESH,VARANASI,13221,30435,76232,119888,34
2009,12,UTTAR PRADESH,VARANASI,16662,35466,91197,143325,40
2010,12,UTTAR PRADESH,VARANASI,17694,40164,106270,164128,45
2011,12,UTTAR PRADESH,VARANASI,21557,43249,118664,183470,50
2012,12,UTTAR PRADESH,VARANASI,24927,45914,138122,208962,56
2013,12,UTTAR PRADESH,VARANASI,29358,48523,164665,242546,64
2007,12,UTTAR PRADESH,MIRZPUR,8314,10256,16820,35389,15
2008,12,UTTAR PRADESH,MIRZPUR,11204,11007,19364,41575,17
2009,12,UTTAR PRADESH,MIRZPUR,12066,13224,23587,48876,20
2010,12,UTTAR PRADESH,MIRZPUR,10951,14396,28041,53388,22
2011,12,UTTAR PRADESH,MIRZPUR,12495,13873,31227,57595,23
2012,12,UTTAR PRADESH,MIRZPUR,13432,14610,35874,63916,25
2013,12,UTTAR PRADESH,MIRZPUR,15253,16244,41976,73473,28
2007,12,UTTAR PRADESH,JAUNPUR,14770,10311,31836,56916,13
2008,12,UTTAR PRADESH,JAUNPUR,18535,11141,36090,65765,15
2009,12,UTTAR PRADESH,JAUNPUR,20508,12834,41797,75139,17
2010,12,UTTAR PRADESH,JAUNPUR,24171,14409,49329,87908,20
2011,12,UTTAR PRADESH,JAUNPUR,28200,15300,54110,97611,22
2012,12,UTTAR PRADESH,JAUNPUR,31565,15793,61824,109182,24
2013,12,UTTAR PRADESH,JAUNPUR,36239,16880,72485,125604,27
2007,12,UTTAR PRADESH,GHAZIPUR,13726,7460,23965,45150,13
2008,12,UTTAR PRADESH,GHAZIPUR,17138,8274,28237,53648,16
2009,12,UTTAR PRADESH,GHAZIPUR,18240,9490,34528,62258,18
2010,12,UTTAR PRADESH,GHAZIPUR,18732,10858,41356,70946,20
2011,12,UTTAR PRADESH,GHAZIPUR,21682,11891,46806,80379,22
2012,12,UTTAR PRADESH,GHAZIPUR,23860,12844,55111,91815,25
2013,12,UTTAR PRADESH,GHAZIPUR,26843,13959,65719,106520,28
2007,12,UTTAR PRADESH,BALLIA,11932,6977,21481,40390,13
2008,12,UTTAR PRADESH,BALLIA,14980,7975,25252,48207,16
2009,12,UTTAR PRADESH,BALLIA,15886,9117,31396,56398,18
2010,12,UTTAR PRADESH,BALLIA,18168,10392,36753,65314,20
2011,12,UTTAR PRADESH,BALLIA,21186,10241,41072,72499,22
2012,12,UTTAR PRADESH,BALLIA,23313,10620,48255,82189,25
2013,12,UTTAR PRADESH,BALLIA,26457,11562,56778,94797,28
2007,12,UTTAR PRADESH,GORAKHPUR,14834,22763,39256,76853,18
2008,12,UTTAR PRADESH,GORAKHPUR,18283,24530,45552,88365,21
2009,12,UTTAR PRADESH,GORAKHPUR,24333,28679,55819,108830,25
2010,12,UTTAR PRADESH,GORAKHPUR,23853,32501,61916,118269,27
2011,12,UTTAR PRADESH,GORAKHPUR,27790,35346,67011,130147,29
2012,12,UTTAR PRADESH,GORAKHPUR,30950,37870,76503,145322,32
2013,12,UTTAR PRADESH,GORAKHPUR,35647,40630,86709,162986,36
2007,12,UTTAR PRADESH,DEORIA,9396,7409,22567,39372,13
2008,12,UTTAR PRADESH,DEORIA,11421,7903,26590,45913,15
2009,12,UTTAR PRADESH,DEORIA,12723,9145,32638,54505,18
2010,12,UTTAR PRADESH,DEORIA,15069,10492,39319,64881,21
2011,12,UTTAR PRADESH,DEORIA,17218,11342,44626,73186,24
2012,12,UTTAR PRADESH,DEORIA,18779,12291,52720,83790,27
2013,12,UTTAR PRADESH,DEORIA,21294,13229,62204,96727,30
2007,12,UTTAR PRADESH,BASTI,10851,5023,19380,35254,15
2008,12,UTTAR PRADESH,BASTI,7753,5361,23316,36430,16
2009,12,UTTAR PRADESH,BASTI,8986,6173,29683,44842,19
2010,12,UTTAR PRADESH,BASTI,7211,6962,37723,51897,21
2011,12,UTTAR PRADESH,BASTI,8229,7538,43740,59508,24
2012,12,UTTAR PRADESH,BASTI,9025,8024,52872,69921,28
2013,12,UTTAR PRADESH,BASTI,10511,8602,64639,83752,33
2007,12,UTTAR PRADESH,AZAMGARH,24500,9373,32429,66302,15
2008,12,UTTAR PRADESH,AZAMGARH,28140,10158,37952,76250,17
2009,12,UTTAR PRADESH,AZAMGARH,29495,11675,45789,86958,19
2010,12,UTTAR PRADESH,AZAMGARH,38946,12877,55883,107706,24
2011,12,UTTAR PRADESH,AZAMGARH,48558,11714,63169,123440,27
2012,12,UTTAR PRADESH,AZAMGARH,58078,12061,73922,144060,31
2013,12,UTTAR PRADESH,AZAMGARH,70592,13012,88279,171882,36
2007,12,UTTAR PRADESH,LUCKNOW,4526,57439,127576,189542,45
2008,12,UTTAR PRADESH,LUCKNOW,4904,57697,155733,218335,51
2009,12,UTTAR PRADESH,LUCKNOW,5776,66896,186219,258892,59
2010,12,UTTAR PRADESH,LUCKNOW,7118,75203,209159,291480,65
2011,12,UTTAR PRADESH,LUCKNOW,7724,78236,236663,322624,70
2012,12,UTTAR PRADESH,LUCKNOW,8028,84184,276624,368836,79
2013,12,UTTAR PRADESH,LUCKNOW,9136,89757,341518,440411,92
2007,12,UTTAR PRADESH,UNNAO,15537,10523,18697,44757,15
2008,12,UTTAR PRADESH,UNNAO,19995,11431,22221,53648,18
2009,12,UTTAR PRADESH,UNNAO,19519,13137,26757,59413,20
2010,12,UTTAR PRADESH,UNNAO,27609,15167,32849,75625,25
2011,12,UTTAR PRADESH,UNNAO,33093,16783,37468,87344,28
2012,12,UTTAR PRADESH,UNNAO,38081,18092,43142,99315,31
2013,12,UTTAR PRADESH,UNNAO,44977,19526,50137,114639,36
2007,12,UTTAR PRADESH,RAE-BAREILY,14650,8180,20801,43631,14
2008,12,UTTAR PRADESH,RAE-BAREILY,21350,8684,24905,54939,17
2009,12,UTTAR PRADESH,RAE-BAREILY,22935,9829,30060,62823,19
2010,12,UTTAR PRADESH,RAE-BAREILY,31997,11199,37117,80313,24
2011,12,UTTAR PRADESH,RAE-BAREILY,37528,11905,42708,92140,27
2012,12,UTTAR PRADESH,RAE-BAREILY,42404,12899,49971,105274,30
2013,12,UTTAR PRADESH,RAE-BAREILY,49196,13905,58465,121566,34
2007,12,UTTAR PRADESH,SITAPUR,24436,10469,22243,57149,14
2008,12,UTTAR PRADESH,SITAPUR,31912,11513,26270,69695,17
2009,12,UTTAR PRADESH,SITAPUR,32760,13603,32678,79040,18
2010,12,UTTAR PRADESH,SITAPUR,31179,15829,39592,86600,20
2011,12,UTTAR PRADESH,SITAPUR,36211,16871,45081,98163,22
2012,12,UTTAR PRADESH,SITAPUR,40382,18421,51839,110642,24
2013,12,UTTAR PRADESH,SITAPUR,46675,20057,59769,126502,27
2007,12,UTTAR PRADESH,HARDOI,23889,9107,19046,52041,14
2008,12,UTTAR PRADESH,HARDOI,31766,9657,22270,63693,16
2009,12,UTTAR PRADESH,HARDOI,34089,11108,25586,70783,18
2010,12,UTTAR PRADESH,HARDOI,36704,12522,31286,80512,20
2011,12,UTTAR PRADESH,HARDOI,45281,13876,35570,94727,23
2012,12,UTTAR PRADESH,HARDOI,53657,14996,40403,109056,26
2013,12,UTTAR PRADESH,HARDOI,64772,16067,46401,127240,30
2007,12,UTTAR PRADESH,KHERI,31198,11708,24959,67865,18
2008,12,UTTAR PRADESH,KHERI,20018,11648,29073,60739,16
2009,12,UTTAR PRADESH,KHERI,22795,12713,34243,69751,18
2010,12,UTTAR PRADESH,KHERI,23477,13503,41499,78479,20
2011,12,UTTAR PRADESH,KHERI,27466,15012,46337,88815,22
2012,12,UTTAR PRADESH,KHERI,30828,15699,52408,98935,24
2013,12,UTTAR PRADESH,KHERI,36185,16238,60432,112855,27
2007,12,UTTAR PRADESH,FAIZABAD,12664,10179,19562,42404,18
2008,12,UTTAR PRADESH,FAIZABAD,13290,11494,22318,47102,20
2009,12,UTTAR PRADESH,FAIZABAD,13291,13274,25831,52397,22
2010,12,UTTAR PRADESH,FAIZABAD,17162,14836,28860,60857,25
2011,12,UTTAR PRADESH,FAIZABAD,21013,15846,31170,68029,28
2012,12,UTTAR PRADESH,FAIZABAD,24721,16658,34592,75972,30
2013,12,UTTAR PRADESH,FAIZABAD,29852,17946,38807,86605,34
2007,12,UTTAR PRADESH,GONDA,16061,7831,19309,43201,14
2008,12,UTTAR PRADESH,GONDA,20673,8464,22788,51926,16
2009,12,UTTAR PRADESH,GONDA,24478,9813,27745,62036,19
2010,12,UTTAR PRADESH,GONDA,23004,11359,34257,68621,20
2011,12,UTTAR PRADESH,GONDA,26729,11909,39072,77710,23
2012,12,UTTAR PRADESH,GONDA,29847,13342,46369,89558,26
2013,12,UTTAR PRADESH,GONDA,34420,14083,55564,104066,29
2007,12,UTTAR PRADESH,BAHRAICH,14236,6677,16349,37262,12
2008,12,UTTAR PRADESH,BAHRAICH,17694,7254,19660,44609,14
2009,12,UTTAR PRADESH,BAHRAICH,12604,8675,23854,45133,14
2010,12,UTTAR PRADESH,BAHRAICH,12353,10047,30122,52521,16
2011,12,UTTAR PRADESH,BAHRAICH,14511,11286,35048,60844,17
2012,12,UTTAR PRADESH,BAHRAICH,16168,12334,42297,70800,20
2013,12,UTTAR PRADESH,BAHRAICH,19371,13335,50754,83460,22
2007,12,UTTAR PRADESH,SULTANPUR,15626,9586,25075,50288,14
2008,12,UTTAR PRADESH,SULTANPUR,19420,10646,29432,59498,16
2009,12,UTTAR PRADESH,SULTANPUR,29030,12419,35953,77402,21
2010,12,UTTAR PRADESH,SULTANPUR,33890,14607,43585,92082,25
2011,12,UTTAR PRADESH,SULTANPUR,38685,16639,49182,104507,28
2012,12,UTTAR PRADESH,SULTANPUR,42509,18117,57759,118384,31
2013,12,UTTAR PRADESH,SULTANPUR,47920,19784,68254,135957,35
2007,12,UTTAR PRADESH,PRATAPGARH,10577,4577,22446,37600,12
2008,12,UTTAR PRADESH,PRATAPGARH,12825,4984,25791,43600,14
2009,12,UTTAR PRADESH,PRATAPGARH,13350,5722,30982,50054,16
2010,12,UTTAR PRADESH,PRATAPGARH,14973,6598,37693,59263,19
2011,12,UTTAR PRADESH,PRATAPGARH,16905,7099,42475,66479,21
2012,12,UTTAR PRADESH,PRATAPGARH,18401,7864,49844,76109,23
2013,12,UTTAR PRADESH,PRATAPGARH,21021,8630,59004,88655,27
2007,12,UTTAR PRADESH,BARABANKI,17060,7769,19842,44671,15
2008,12,UTTAR PRADESH,BARABANKI,21341,8311,22889,52541,17
2009,12,UTTAR PRADESH,BARABANKI,19157,9687,28055,56900,18
2010,12,UTTAR PRADESH,BARABANKI,23166,11150,33266,67582,21
2011,12,UTTAR PRADESH,BARABANKI,26547,12108,37123,75778,23
2012,12,UTTAR PRADESH,BARABANKI,29273,13045,42535,84852,26
2013,12,UTTAR PRADESH,BARABANKI,33389,14057,49582,97029,29
2007,16,UTTARAKHAND,NAINITAL,6303,16649,20477,43429,50
